Seed,Team
1,Minot State University
2,Adrian College
3,University of Central Oklahoma
4,University of Jamestown
5,University of Nevada Las Vegas
6,Maryville University
7,Liberty University
8,Ohio University
9,Niagara University
10,University of Mary
11,Purdue University Northwest
12,University of Utah
13,University of Arizona
14,Grand Valley State University
15,Calvin University
16,Illinois State University
17,Grand Canyon University
18,Indiana Tech
19,University of Delaware
20,University of Pittsburgh
21,Missouri State University
22,Indiana University of Pennsylvania
23,West Chester University
24,Oswego State University
